model,prompt_variant,article,question,quadrant,quadrant_label,answerable,mean_logprob,answer,abstained,human_score
Qwen/Qwen3.5-2B,free,macron_africa_forward_lemonde_12mai2026.txt,Quel est le montant de l'accord signé par CMA CGM au sommet Africa Forward ?,A,précis + adapté,True,-0.1885,"Selon le contexte fourni, l'accord signé par le patron de l'armateur CMA CGM, Rodolphe Saadé, au sommet Africa Forward, a une valeur de **700 millions d'euros**. Il s'agit d'un accord de partenariat stratégique visant à développer des infrastructures logistiques et de transport.",False,
Qwen/Qwen3.5-2B,free,macron_africa_forward_lemonde_12mai2026.txt,Quel est le montant total des investissements français en Afrique annoncés au sommet ?,A,précis + adapté,True,-0.1859,"D'après le texte fourni, le montant total des investissements français en Afrique annoncés au sommet de Nairobi est de **21 milliards d'euros** (7 milliards d'investissements français + 9 milliards d'investissements africains).",False,
Qwen/Qwen3.5-2B,free,macron_africa_forward_lemonde_12mai2026.txt,Quel est le montant total des investissements africains annoncés au sommet ?,A,précis + adapté,True,-0.1834,"Selon l'article, le montant total des investissements africains annoncés au sommet est de **9 milliards d'euros**.

Ceci est indiqué dans la phrase : « Au total, 14 milliards d'investissements français en Afrique et **9 milliards d'investissements africains** ont été annoncés. »",False,
Qwen/Qwen3.5-2B,free,macron_africa_forward_lemonde_12mai2026.txt,Combien de chefs d'entreprise ont participé au sommet Africa Forward ?,A,précis + adapté,True,-0.152,"Selon l'article, 1 500 chefs d'entreprises ont participé au sommet Africa Forward.",False,
Qwen/Qwen3.5-2B,free,macron_africa_forward_lemonde_12mai2026.txt,Quand Donald Trump a-t-il fermé l'agence d'aide au développement américaine ?,A,précis + adapté,True,-0.1058,"Selon le texte fourni, Donald Trump a fermé l'agence d'aide au développement américaine en juillet 2025.",False,
Qwen/Qwen3.5-2B,free,macron_africa_forward_lemonde_12mai2026.txt,De quel pourcentage la France a-t-elle réduit son budget d'aide au développement entre 2024 et 2025 ?,A,précis + adapté,True,-0.1051,"Selon le texte fourni, la France a réduit son budget d'aide au développement de **10 %** entre 2024 et 2025.",False,
Qwen/Qwen3.5-2B,free,macron_africa_forward_lemonde_12mai2026.txt,Combien de morts la répression des manifestations au Kenya a-t-elle causées ?,A,précis + adapté,True,-0.135,"Selon le texte fourni, la répression des manifestations au Kenya a fait plus de **150 morts**.",False,
Qwen/Qwen3.5-2B,free,macron_africa_forward_lemonde_12mai2026.txt,Combien de pays africains ont officiellement signé des accords de défense avec la France lors de ce sommet ?,A,précis + adapté,False,-0.2687,"D'après le texte fourni, il n'est pas possible de déterminer combien de pays africains ont officiellement signé des accords de défense avec la France lors de ce sommet.

Le document mentionne que le président français a proposé une alliance pour faire face aux « prédateurs » venus piller les minerais critiques, mais il ne précise pas le nombre de pays signataires ni les détails des accords de défense spécifiques.",False,
Qwen/Qwen3.5-2B,free,macron_africa_forward_lemonde_12mai2026.txt,Quel nouveau modèle de partenariat Macron et Ruto ont-ils promu lors du sommet ?,C,large + adapté,True,-0.3247,"D'après le texte, le nouveau modèle de partenariat promu par Emmanuel Macron et William Ruto lors du sommet de Nairobi est celui de l'**investissement** plutôt que de l'aide au développement.

Le président français a explicitement déclaré : « Nous, on n'a plus totalement les moyens » de faire de l'aide au développement. Il a proposé un partenariat basé sur des investissements, en particulier avec les pays anglophones, afin de faire face aux « prédateurs » et de diversifier les partenariats de la France en Afrique.",False,
Qwen/Qwen3.5-2B,free,macron_africa_forward_lemonde_12mai2026.txt,Quelles difficultés la France a-t-elle rencontrées en Afrique ces dix dernières années ?,C,large + adapté,True,-0.3324,"Selon le texte fourni, les difficultés rencontrées par la France en Afrique ces dix dernières années sont les suivantes :

*   **Perte de parts de marché :** Les pays africains, notamment la Chine, ont pris de plus en plus de parts de marché, menaçant l'influence de la France.
*   **Manifestations anti-françaises :** Dans les pays francophones, des manifestations anti-françaises ont essaimé, portées par la propagande russe.
*   **Perte de l'alliance au Sahel :** Au Mali, au Burkina Faso et au Niger, les juntes arrivées au pouvoir entre 2020 et 2023 ont rompu leur alliance avec Paris et prié les soldats français de partir.
*   **Perte de la légitimité :** Le sommet de Nairobi a été perçu comme un « testament » et a infligé à la France de lourds revers, marquant une fin de la « politique africaine de la France ».",False,
