model,prompt_variant,article,question,quadrant,quadrant_label,answerable,mean_logprob,answer,abstained,human_score
Qwen/Qwen3.6-27B-FP8,free,macron_africa_forward_lemonde_12mai2026.txt,Quel est le montant de l'accord signé par CMA CGM au sommet Africa Forward ?,A,précis + adapté,True,-0.088,"Selon l'article, l'accord de partenariat stratégique signé par CMA CGM au sommet Africa Forward a une valeur de **700 millions d'euros**.",False,
Qwen/Qwen3.6-27B-FP8,free,macron_africa_forward_lemonde_12mai2026.txt,Quel est le montant total des investissements français en Afrique annoncés au sommet ?,A,précis + adapté,True,-0.0569,"Selon l'article, le montant total des investissements français en Afrique annoncés au sommet est de **14 milliards d'euros**.",False,
Qwen/Qwen3.6-27B-FP8,free,macron_africa_forward_lemonde_12mai2026.txt,Quel est le montant total des investissements africains annoncés au sommet ?,A,précis + adapté,True,-0.0728,"Selon l'article, le montant total des investissements africains annoncés au sommet est de **9 milliards** (d'euros).",False,
Qwen/Qwen3.6-27B-FP8,free,macron_africa_forward_lemonde_12mai2026.txt,Combien de chefs d'entreprise ont participé au sommet Africa Forward ?,A,précis + adapté,True,-0.0433,"Selon l'article, **1 500 chefs d'entreprises** venus de France et de tout le continent africain ont participé au sommet Africa Forward.",False,
Qwen/Qwen3.6-27B-FP8,free,macron_africa_forward_lemonde_12mai2026.txt,Quand Donald Trump a-t-il fermé l'agence d'aide au développement américaine ?,A,précis + adapté,True,-0.023,"Selon l'article, Donald Trump a fermé l'agence d'aide au développement américaine en **juillet 2025**.",False,
Qwen/Qwen3.6-27B-FP8,free,macron_africa_forward_lemonde_12mai2026.txt,De quel pourcentage la France a-t-elle réduit son budget d'aide au développement entre 2024 et 2025 ?,A,précis + adapté,True,-0.0117,"Selon l'article, la France a réduit son budget d'aide au développement de **10 %** entre 2024 et 2025.",False,
Qwen/Qwen3.6-27B-FP8,free,macron_africa_forward_lemonde_12mai2026.txt,Combien de morts la répression des manifestations au Kenya a-t-elle causées ?,A,précis + adapté,True,-0.0371,"Selon l'article, la répression des manifestations au Kenya a fait plus de 150 morts.",False,
Qwen/Qwen3.6-27B-FP8,free,macron_africa_forward_lemonde_12mai2026.txt,Combien de pays africains ont officiellement signé des accords de défense avec la France lors de ce sommet ?,A,précis + adapté,False,-0.148,"D'après le texte fourni, il n'est pas mentionné que des pays africains aient signé des accords de défense avec la France lors de ce sommet.

L'article indique que des accords ont été signés dans le domaine des infrastructures logistiques et de transport (par exemple, un accord de 700 millions d'euros avec CMA CGM) et que des investissements ont été annoncés (14 milliards d'euros de la part de la France et 9 milliards de la part de l'Afrique). Emmanuel Macron a également proposé une alliance pour faire face aux « prédateurs » des minerais critiques, mais le texte ne précise pas le nombre de pays ayant signé des accords de défense spécifiques.",False,
Qwen/Qwen3.6-27B-FP8,free,macron_africa_forward_lemonde_12mai2026.txt,Quel nouveau modèle de partenariat Macron et Ruto ont-ils promu lors du sommet ?,C,large + adapté,True,-0.1411,"Selon l'article, Emmanuel Macron et William Ruto ont promu un « nouveau partenariat » fondé non plus sur l'aide au développement, mais sur les **investissements**.

Le président français a justifié cette orientation en expliquant que la France n'avait plus les moyens de financer l'aide au développement, un budget qui a baissé de 10 % entre 2024 et 2025.",False,
Qwen/Qwen3.6-27B-FP8,free,macron_africa_forward_lemonde_12mai2026.txt,Quelles difficultés la France a-t-elle rencontrées en Afrique ces dix dernières années ?,C,large + adapté,True,-0.0811,"D'après l'article, la France a rencontré les difficultés suivantes en Afrique au cours des dix dernières années :

*   **Perte de parts de marché** au profit de ses concurrents, la Chine en tête.
*   **Manifestations anti-françaises** qui se sont multipliées dans les pays francophones, portées par la propagande russe.
*   **Lourds revers au Sahel** (Mali, Burkina Faso et Niger), où les juntes arrivées au pouvoir entre 2020 et 2023 ont exigé le départ des soldats français et rompu leur alliance avec Paris.",False,
